customer_id,customer_name,email,city,signup_date
82,Christopher Garner,jacksonkayla@gmail.com,Jamesmouth,2025-09-09
83,Daniel Bennett,christopher35@gonzales.com,Dannytown,2024-02-08
84,Anne Curry,feliciasanders@murphy.com,Williamsonport,2024-12-19
85,Kayla Morgan,bsilva@coleman.com,Dixonview,2025-02-15
86,Andrea Barron,ronnie44@mccormick.com,Terriside,2025-01-25
87,Ann Martin,jeremyleonard@cook.com,Port Catherinebury,2024-03-02
88,Rhonda Gonzalez,tamarageorge@hendrix.com,New Judy,2024-08-21
89,Elizabeth Tran,goodmanharry@gmail.com,Hawkinsview,2024-09-30
90,Lisa Morris,martinezsteven@gmail.com,East Shawn,2024-05-09
91,Craig Erickson,lewismichael@hotmail.com,North Derrickchester,2025-07-10
92,Craig Hernandez,stewartdale@powell.com,Singletontown,2024-07-13
93,Andrea Clark,raywalker@gmail.com,East Mark,2024-06-24
94,Christopher Mosley,christopher86@bruce.org,Adamstown,2024-06-01
95,Jeffrey Perez,shannon58@fields-smith.com,East Ashley,2025-01-11
96,Juan Villanueva,littlelori@green.com,Michelleberg,2025-07-03
97,Rebecca Alexander,brandonmiller@campbell.com,Lake Ryanton,2024-05-12
98,Whitney Benton,sharon45@young.com,South Heatherbury,2024-11-24
99,Matthew Taylor,obrienmark@gmail.com,Port Elizabeth,2025-05-20
100,Jeff Lam,clarkzachary@thomas-pennington.net,Dylanshire,2025-01-07
